dmr_variable,form_name,cohort,visit,clinical_variable
PDBPLBDInclusnCritCntrlSubjTyp,LBD InclusnXclusn,at-home-pd,12 months,NA
PDBPLBDInclusnCritCntrlSubjTyp,LBD InclusnXclusn,at-home-pd,24 months,NA
PDBPLBDInclusnCritCntrlSubjTyp,LBD InclusnXclusn,at-home-pd,36 months,NA
PDBPLBDInclusnCritCntrlSubjTyp,LBD InclusnXclusn,super-pd,Baseline,NA
PDBPLBDInclusnCritCntrlSubjTyp,LBD InclusnXclusn,super-pd,Physician_ON,NA
PDBPLBDInclusnCritCntrlSubjTyp,LBD InclusnXclusn,super-pd,Physician_OFF,NA
VisitDate,NA,at-home-pd,Baseline,visstatdttm
VisitDate,NA,at-home-pd,12 months,visstatdttm
VisitDate,NA,at-home-pd,24 months,visstatdttm
VisitDate,NA,at-home-pd,36 months,NA
VisitDate,NA,super-pd,Baseline,visstatdttm
VisitDate,NA,super-pd,Physician_ON,time_mdsupdrs_off
VisitDate,NA,super-pd,Physician_OFF,time_mdsupdrs
AgeRemaindrMonths,NA,at-home-pd,Baseline,NA
AgeRemaindrMonths,NA,at-home-pd,12 months,NA
AgeRemaindrMonths,NA,at-home-pd,24 months,NA
AgeRemaindrMonths,NA,at-home-pd,36 months,NA
AgeRemaindrMonths,NA,super-pd,Baseline,NA
AgeRemaindrMonths,NA,super-pd,Physician_ON,demo_age
AgeRemaindrMonths,NA,super-pd,Physician_OFF,demo_age
AgeYrs,NA,at-home-pd,Baseline,NA
AgeYrs,NA,at-home-pd,12 months,NA
AgeYrs,NA,at-home-pd,24 months,NA
AgeYrs,NA,at-home-pd,36 months,NA
AgeYrs,NA,super-pd,Baseline,NA
AgeYrs,NA,super-pd,Physician_ON,demo_age
AgeYrs,NA,super-pd,Physician_OFF,demo_age
HeartRate,Vital Signs,at-home-pd,Baseline,NA
HeartRate,Vital Signs,at-home-pd,12 months,NA
HeartRate,Vital Signs,at-home-pd,24 months,NA
HeartRate,Vital Signs,at-home-pd,36 months,NA
HeartRate,Vital Signs,super-pd,Baseline,NA
HeartRate,Vital Signs,super-pd,Physician_ON,NA
HeartRate,Vital Signs,super-pd,Physician_OFF,NA
WgtMeasr,Vital Signs,at-home-pd,Baseline,NA
WgtMeasr,Vital Signs,at-home-pd,12 months,NA
WgtMeasr,Vital Signs,at-home-pd,24 months,NA
WgtMeasr,Vital Signs,at-home-pd,36 months,NA
WgtMeasr,Vital Signs,super-pd,Baseline,NA
WgtMeasr,Vital Signs,super-pd,Physician_ON,NA
WgtMeasr,Vital Signs,super-pd,Physician_OFF,NA
HgtMeasr,Vital Signs,at-home-pd,Baseline,NA
HgtMeasr,Vital Signs,at-home-pd,12 months,NA
HgtMeasr,Vital Signs,at-home-pd,24 months,NA
HgtMeasr,Vital Signs,at-home-pd,36 months,NA
HgtMeasr,Vital Signs,super-pd,Baseline,NA
HgtMeasr,Vital Signs,super-pd,Physician_ON,NA
HgtMeasr,Vital Signs,super-pd,Physician_OFF,NA
TempMeasr,Vital Signs,at-home-pd,Baseline,NA
TempMeasr,Vital Signs,at-home-pd,12 months,NA
TempMeasr,Vital Signs,at-home-pd,24 months,NA
TempMeasr,Vital Signs,at-home-pd,36 months,NA
TempMeasr,Vital Signs,super-pd,Baseline,NA
TempMeasr,Vital Signs,super-pd,Physician_ON,NA
TempMeasr,Vital Signs,super-pd,Physician_OFF,NA
VitalSgnDateTime,Vital Signs,at-home-pd,Baseline,NA
VitalSgnDateTime,Vital Signs,at-home-pd,12 months,NA
VitalSgnDateTime,Vital Signs,at-home-pd,24 months,NA
VitalSgnDateTime,Vital Signs,at-home-pd,36 months,NA
VitalSgnDateTime,Vital Signs,super-pd,Baseline,NA
VitalSgnDateTime,Vital Signs,super-pd,Physician_ON,NA
VitalSgnDateTime,Vital Signs,super-pd,Physician_OFF,NA
TempMeasrAntmicSite,Vital Signs,at-home-pd,Baseline,NA
TempMeasrAntmicSite,Vital Signs,at-home-pd,12 months,NA
TempMeasrAntmicSite,Vital Signs,at-home-pd,24 months,NA
TempMeasrAntmicSite,Vital Signs,at-home-pd,36 months,NA
TempMeasrAntmicSite,Vital Signs,super-pd,Baseline,NA
TempMeasrAntmicSite,Vital Signs,super-pd,Physician_ON,NA
TempMeasrAntmicSite,Vital Signs,super-pd,Physician_OFF,NA
RespRate,Vital Signs,at-home-pd,Baseline,NA
RespRate,Vital Signs,at-home-pd,12 months,NA
RespRate,Vital Signs,at-home-pd,24 months,NA
RespRate,Vital Signs,at-home-pd,36 months,NA
RespRate,Vital Signs,super-pd,Baseline,NA
RespRate,Vital Signs,super-pd,Physician_ON,NA
RespRate,Vital Signs,super-pd,Physician_OFF,NA
BldPressrSystMeasr,Vital Signs,at-home-pd,Baseline,NA
BldPressrSystMeasr,Vital Signs,at-home-pd,12 months,NA
BldPressrSystMeasr,Vital Signs,at-home-pd,24 months,NA
BldPressrSystMeasr,Vital Signs,at-home-pd,36 months,NA
BldPressrSystMeasr,Vital Signs,super-pd,Baseline,NA
BldPressrSystMeasr,Vital Signs,super-pd,Physician_ON,NA
BldPressrSystMeasr,Vital Signs,super-pd,Physician_OFF,NA
BldPressrDiastlMeasr,Vital Signs,at-home-pd,Baseline,NA
BldPressrDiastlMeasr,Vital Signs,at-home-pd,12 months,NA
BldPressrDiastlMeasr,Vital Signs,at-home-pd,24 months,NA
BldPressrDiastlMeasr,Vital Signs,at-home-pd,36 months,NA
BldPressrDiastlMeasr,Vital Signs,super-pd,Baseline,NA
BldPressrDiastlMeasr,Vital Signs,super-pd,Physician_ON,NA
BldPressrDiastlMeasr,Vital Signs,super-pd,Physician_OFF,NA
BldPressrMeasrPositionTyp,Vital Signs,at-home-pd,Baseline,NA
BldPressrMeasrPositionTyp,Vital Signs,at-home-pd,12 months,NA
BldPressrMeasrPositionTyp,Vital Signs,at-home-pd,24 months,NA
BldPressrMeasrPositionTyp,Vital Signs,at-home-pd,36 months,NA
BldPressrMeasrPositionTyp,Vital Signs,super-pd,Baseline,NA
BldPressrMeasrPositionTyp,Vital Signs,super-pd,Physician_ON,NA
BldPressrMeasrPositionTyp,Vital Signs,super-pd,Physician_OFF,NA
MDSUPDRSGaitScore,MDS-UPDRS,at-home-pd,Baseline,mdsupdrsgaitscore
MDSUPDRSGaitScore,MDS-UPDRS,at-home-pd,12 months,NA
MDSUPDRSGaitScore,MDS-UPDRS,at-home-pd,24 months,NA
MDSUPDRSGaitScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSGaitScore,MDS-UPDRS,super-pd,Baseline,mdsupdrsgaitscore_v2
MDSUPDRSGaitScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsgaitscore_2
MDSUPDRSGaitScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsgaitscore_spd
MDSUPDRSWlkngBalanceScore,MDS-UPDRS,at-home-pd,Baseline,mdsupdrswlkngbalancescore
MDSUPDRSWlkngBalanceScore,MDS-UPDRS,at-home-pd,12 months,wlkngbalancescore_m12
MDSUPDRSWlkngBalanceScore,MDS-UPDRS,at-home-pd,24 months,wlkngbalancescore_m12
MDSUPDRSWlkngBalanceScore,MDS-UPDRS,at-home-pd,36 months,wlkngbalancescore_m12_as
MDSUPDRSWlkngBalanceScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSWlkngBalanceScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSWlkngBalanceScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrswlkngbalancescore_spd
MDSUPDRSHobbieOthrActScore,MDS-UPDRS,at-home-pd,Baseline,hobbieothractscore
MDSUPDRSHobbieOthrActScore,MDS-UPDRS,at-home-pd,12 months,hobbieothractscore_m12
MDSUPDRSHobbieOthrActScore,MDS-UPDRS,at-home-pd,24 months,hobbieothractscore_m12
MDSUPDRSHobbieOthrActScore,MDS-UPDRS,at-home-pd,36 months,hobbieothractscore_m12_as
MDSUPDRSHobbieOthrActScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSHobbieOthrActScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSHobbieOthrActScore,MDS-UPDRS,super-pd,Physician_OFF,hobbieothractscore_spd
MDSUPDRSPostureScore,MDS-UPDRS,at-home-pd,Baseline,mdsupdrsposturescore
MDSUPDRSPostureScore,MDS-UPDRS,at-home-pd,12 months,mdsupdrsposturescore
MDSUPDRSPostureScore,MDS-UPDRS,at-home-pd,24 months,mdsupdrsposturescore
MDSUPDRSPostureScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSPostureScore,MDS-UPDRS,super-pd,Baseline,mdsupdrsposturescore_v2
MDSUPDRSPostureScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsposturescore_2
MDSUPDRSPostureScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsposturescore_spd
MDSUPDRSGlblSpontntyMvmntScore,MDS-UPDRS,at-home-pd,Baseline,glblspontntymvmnts
MDSUPDRSGlblSpontntyMvmntScore,MDS-UPDRS,at-home-pd,12 months,glblspontntymvmnts
MDSUPDRSGlblSpontntyMvmntScore,MDS-UPDRS,at-home-pd,24 months,glblspontntymvmnts
MDSUPDRSGlblSpontntyMvmntScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSGlblSpontntyMvmntScore,MDS-UPDRS,super-pd,Baseline,mdsupdrsglblspontntymvmnts_v2
MDSUPDRSGlblSpontntyMvmntScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsglblspontntymvmnts_2
MDSUPDRSGlblSpontntyMvmntScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsglblspontntymvmnts
MDSUPDRSTtlHrAwkDyskNum,MDS-UPDRS,at-home-pd,Baseline,mdsupdrsttlhrawkdysknum
MDSUPDRSTtlHrAwkDyskNum,MDS-UPDRS,at-home-pd,12 months,mdsupdrsttlhrawkdysknum
MDSUPDRSTtlHrAwkDyskNum,MDS-UPDRS,at-home-pd,24 months,mdsupdrsttlhrawkdysknum
MDSUPDRSTtlHrAwkDyskNum,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSTtlHrAwkDyskNum,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSTtlHrAwkDyskNum,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSTtlHrAwkDyskNum,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsttlhrawkdysknum_spd
MDSUPDRSPrcntOffDystniaVal,MDS-UPDRS,at-home-pd,Baseline,prcntoffdystniaval
MDSUPDRSPrcntOffDystniaVal,MDS-UPDRS,at-home-pd,12 months,prcntoffdystniaval
MDSUPDRSPrcntOffDystniaVal,MDS-UPDRS,at-home-pd,24 months,prcntoffdystniaval
MDSUPDRSPrcntOffDystniaVal,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSPrcntOffDystniaVal,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSPrcntOffDystniaVal,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSPrcntOffDystniaVal,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsprcntoffdystniaval
MDSUPDRSChwngSwllwngScore,MDS-UPDRS,at-home-pd,Baseline,mdsupdrschwngswllwngscore
MDSUPDRSChwngSwllwngScore,MDS-UPDRS,at-home-pd,12 months,chwngswllwngscore_m12
MDSUPDRSChwngSwllwngScore,MDS-UPDRS,at-home-pd,24 months,chwngswllwngscore_m12
MDSUPDRSChwngSwllwngScore,MDS-UPDRS,at-home-pd,36 months,chwngswllwngscore_m12_as
MDSUPDRSChwngSwllwngScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSChwngSwllwngScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSChwngSwllwngScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrschwngswllwngscore_spd
MDSUPDRSFreezingGaitScore,MDS-UPDRS,at-home-pd,Baseline,mdsupdrsfreezinggaitscore
MDSUPDRSFreezingGaitScore,MDS-UPDRS,at-home-pd,12 months,mdsupdrsfreezinggaitscore
MDSUPDRSFreezingGaitScore,MDS-UPDRS,at-home-pd,24 months,mdsupdrsfreezinggaitscore
MDSUPDRSFreezingGaitScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSFreezingGaitScore,MDS-UPDRS,super-pd,Baseline,mdsupdrsfreezinggaitscore_v2
MDSUPDRSFreezingGaitScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsfreezinggaitscore_2
MDSUPDRSFreezingGaitScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsfreezinggaitscore_spd
MDSUPDRSSlivaDroolScore,MDS-UPDRS,at-home-pd,Baseline,mdsupdrsslivadroolscore
MDSUPDRSSlivaDroolScore,MDS-UPDRS,at-home-pd,12 months,slivadroolscore_m12
MDSUPDRSSlivaDroolScore,MDS-UPDRS,at-home-pd,24 months,slivadroolscore_m12
MDSUPDRSSlivaDroolScore,MDS-UPDRS,at-home-pd,36 months,slivadroolscore_m12_as
MDSUPDRSSlivaDroolScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSSlivaDroolScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSSlivaDroolScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsslivadroolscore_spd
MDSUPDRSDyskChreaDystnaPrsScr,MDS-UPDRS,at-home-pd,Baseline,dyskchreadystnaprs
MDSUPDRSDyskChreaDystnaPrsScr,MDS-UPDRS,at-home-pd,12 months,dyskchreadystnaprs
MDSUPDRSDyskChreaDystnaPrsScr,MDS-UPDRS,at-home-pd,24 months,dyskchreadystnaprs
MDSUPDRSDyskChreaDystnaPrsScr,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSDyskChreaDystnaPrsScr,MDS-UPDRS,super-pd,Baseline,mdsupdrsdyskchreadystnaprs_v2
MDSUPDRSDyskChreaDystnaPrsScr,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsdyskchreadystnaprs_2
MDSUPDRSDyskChreaDystnaPrsScr,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsdyskchreadystnaprs
MDSUPDRSPainflOffStatDystnaScr,MDS-UPDRS,at-home-pd,Baseline,painfloffstatdystn
MDSUPDRSPainflOffStatDystnaScr,MDS-UPDRS,at-home-pd,12 months,painfloffstatdystn
MDSUPDRSPainflOffStatDystnaScr,MDS-UPDRS,at-home-pd,24 months,painfloffstatdystn
MDSUPDRSPainflOffStatDystnaScr,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSPainflOffStatDystnaScr,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSPainflOffStatDystnaScr,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSPainflOffStatDystnaScr,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrspainfloffstatdystn
MDSUPDRSDrpssMoodScore,MDS-UPDRS,at-home-pd,Baseline,mdsupdrsdrpssmoodscore
MDSUPDRSDrpssMoodScore,MDS-UPDRS,at-home-pd,12 months,mdsupdrsdrpssmoodscore
MDSUPDRSDrpssMoodScore,MDS-UPDRS,at-home-pd,24 months,mdsupdrsdrpssmoodscore
MDSUPDRSDrpssMoodScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSDrpssMoodScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSDrpssMoodScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSDrpssMoodScore,MDS-UPDRS,super-pd,Physician_OFF,mds_dep
MDSUPDRSFatigueScore,MDS-UPDRS,at-home-pd,Baseline,mdsupdrsfatiguescore
MDSUPDRSFatigueScore,MDS-UPDRS,at-home-pd,12 months,mdsupdrsfatiguescore_m12
MDSUPDRSFatigueScore,MDS-UPDRS,at-home-pd,24 months,mdsupdrsfatiguescore_m12
MDSUPDRSFatigueScore,MDS-UPDRS,at-home-pd,36 months,mdsupdrsfatiguescore_m12_as
MDSUPDRSFatigueScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSFatigueScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSFatigueScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsfatiguescore_spd
MDSUPDRSQstnnreInfoProvdrTyp,MDS-UPDRS,at-home-pd,Baseline,qstnnreinfoprovdrt
MDSUPDRSQstnnreInfoProvdrTyp,MDS-UPDRS,at-home-pd,12 months,qstnnreinfoprovdrt_m12
MDSUPDRSQstnnreInfoProvdrTyp,MDS-UPDRS,at-home-pd,24 months,qstnnreinfoprovdrt_m12
MDSUPDRSQstnnreInfoProvdrTyp,MDS-UPDRS,at-home-pd,36 months,qstnnreinfoprovdrt_m12_as
MDSUPDRSQstnnreInfoProvdrTyp,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSQstnnreInfoProvdrTyp,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSQstnnreInfoProvdrTyp,MDS-UPDRS,super-pd,Physician_OFF,qstnnreinfoprovdrt_spd
MDSUPDRSFuncImpactDyskScore,MDS-UPDRS,at-home-pd,Baseline,funcimpactdyskscor
MDSUPDRSFuncImpactDyskScore,MDS-UPDRS,at-home-pd,12 months,funcimpactdyskscor
MDSUPDRSFuncImpactDyskScore,MDS-UPDRS,at-home-pd,24 months,funcimpactdyskscor
MDSUPDRSFuncImpactDyskScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSFuncImpactDyskScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSFuncImpactDyskScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSFuncImpactDyskScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsfuncimpactdyskscor
MDSUPDRSSleepProbScore,MDS-UPDRS,at-home-pd,Baseline,mdsupdrssleepprobscore
MDSUPDRSSleepProbScore,MDS-UPDRS,at-home-pd,12 months,sleepprobscore_m12
MDSUPDRSSleepProbScore,MDS-UPDRS,at-home-pd,24 months,sleepprobscore_m12
MDSUPDRSSleepProbScore,MDS-UPDRS,at-home-pd,36 months,sleepprobscore_m12_as
MDSUPDRSSleepProbScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSSleepProbScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSSleepProbScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrssleepprobscore_spd
RteFtToeTppngScore,MDS-UPDRS,at-home-pd,Baseline,NA
RteFtToeTppngScore,MDS-UPDRS,at-home-pd,12 months,NA
RteFtToeTppngScore,MDS-UPDRS,at-home-pd,24 months,NA
RteFtToeTppngScore,MDS-UPDRS,at-home-pd,36 months,NA
RteFtToeTppngScore,MDS-UPDRS,super-pd,Baseline,rtefttoetppngscore_v2
RteFtToeTppngScore,MDS-UPDRS,super-pd,Physician_ON,rtefttoetppngscore_2
RteFtToeTppngScore,MDS-UPDRS,super-pd,Physician_OFF,rtefttoetppngscore_spd
MDSUPDRSFingerTppngLftHndScore,MDS-UPDRS,at-home-pd,Baseline,fingertppnglfthnds
MDSUPDRSFingerTppngLftHndScore,MDS-UPDRS,at-home-pd,12 months,fingertppnglfthnds
MDSUPDRSFingerTppngLftHndScore,MDS-UPDRS,at-home-pd,24 months,fingertppnglfthnds
MDSUPDRSFingerTppngLftHndScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSFingerTppngLftHndScore,MDS-UPDRS,super-pd,Baseline,mdsupdrsfingertppnglfthnds_v2
MDSUPDRSFingerTppngLftHndScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsfingertppnglfthnds_2
MDSUPDRSFingerTppngLftHndScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsfingertppnglfthnds
MDSUPDRSRestTremorAmpLUEScore,MDS-UPDRS,at-home-pd,Baseline,resttremorampluesc
MDSUPDRSRestTremorAmpLUEScore,MDS-UPDRS,at-home-pd,12 months,resttremorampluesc
MDSUPDRSRestTremorAmpLUEScore,MDS-UPDRS,at-home-pd,24 months,resttremorampluesc
MDSUPDRSRestTremorAmpLUEScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSRestTremorAmpLUEScore,MDS-UPDRS,super-pd,Baseline,mdsupdrsresttremorampluesc_v2
MDSUPDRSRestTremorAmpLUEScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsresttremorampluesc_2
MDSUPDRSRestTremorAmpLUEScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsresttremorampluesc
MDSUPDRSKineticTremrLftHndScr,MDS-UPDRS,at-home-pd,Baseline,kinetictremrlfthnd
MDSUPDRSKineticTremrLftHndScr,MDS-UPDRS,at-home-pd,12 months,kinetictremrlfthnd
MDSUPDRSKineticTremrLftHndScr,MDS-UPDRS,at-home-pd,24 months,kinetictremrlfthnd
MDSUPDRSKineticTremrLftHndScr,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSKineticTremrLftHndScr,MDS-UPDRS,super-pd,Baseline,mdsupdrskinetictremrlfthnd_v2
MDSUPDRSKineticTremrLftHndScr,MDS-UPDRS,super-pd,Physician_ON,mdsupdrskinetictremrlfthnd_2
MDSUPDRSKineticTremrLftHndScr,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrskinetictremrlfthnd
MDSUPDRSApathyScore,MDS-UPDRS,at-home-pd,Baseline,mdsupdrsapathyscore
MDSUPDRSApathyScore,MDS-UPDRS,at-home-pd,12 months,mdsupdrsapathyscore
MDSUPDRSApathyScore,MDS-UPDRS,at-home-pd,24 months,mdsupdrsapathyscore
MDSUPDRSApathyScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSApathyScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSApathyScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSApathyScore,MDS-UPDRS,super-pd,Physician_OFF,mds_apathy
MDSUPDRSRLERigidScore,MDS-UPDRS,at-home-pd,Baseline,NA
MDSUPDRSRLERigidScore,MDS-UPDRS,at-home-pd,12 months,NA
MDSUPDRSRLERigidScore,MDS-UPDRS,at-home-pd,24 months,NA
MDSUPDRSRLERigidScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSRLERigidScore,MDS-UPDRS,super-pd,Baseline,neck_4
MDSUPDRSRLERigidScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsrigidityrle_2
MDSUPDRSRLERigidScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsrigidityrle
MDSUPDRSTtlHrDyskNum,MDS-UPDRS,at-home-pd,Baseline,mdsupdrsttlhrdysknum
MDSUPDRSTtlHrDyskNum,MDS-UPDRS,at-home-pd,12 months,mdsupdrsttlhrdysknum
MDSUPDRSTtlHrDyskNum,MDS-UPDRS,at-home-pd,24 months,mdsupdrsttlhrdysknum
MDSUPDRSTtlHrDyskNum,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSTtlHrDyskNum,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSTtlHrDyskNum,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSTtlHrDyskNum,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsttlhrdysknum_spd
MDSUPDRSFreezingScore,MDS-UPDRS,at-home-pd,Baseline,mdsupdrsfreezingscore
MDSUPDRSFreezingScore,MDS-UPDRS,at-home-pd,12 months,mdsupdrsfreezingscore_m12
MDSUPDRSFreezingScore,MDS-UPDRS,at-home-pd,24 months,mdsupdrsfreezingscore_m12
