field_name,form_name,title,element type,version,definition,short description,datatype,maximum character quantity,input restriction,minimum value,maximum value,permissible values,permissible value descriptions,permissible value output codes,Item Response OID,Element OID,unit of measure,guidelines/instructions,notes,preferred question text,keywords,references,population.all,domain.general (for all diseases),domain.traumatic brain injury,domain.Parkinson's disease,domain.Friedreich's ataxia,domain.stroke,domain.amyotrophic lateral sclerosis,domain.Huntington's disease,domain.multiple sclerosis,domain.neuromuscular diseases,domain.myasthenia gravis,domain.spinal muscular atrophy,domain.Duchenne muscular dystrophy/Becker muscular dystrophy,domain.congenital muscular dystrophy,domain.spinal cord injury,domain.headache,domain.epilepsy,classification.general (for all diseases),classification.acute hospitalized,classification.concussion/mild TBI,classification.epidemiology,classification.moderate/severe TBI: rehabilitation,classification.Parkinson's disease,classification.Friedreich's ataxia,classification.stroke,classification.amyotrophic lateral sclerosis,classification.Huntington's disease,classification.multiple sclerosis,classification.neuromuscular diseases,classification.myasthenia gravis,classification.spinal muscular atrophy,classification.Duchenne muscular dystrophy/Becker muscular dystrophy,classification.congenital muscular dystrophy,classification.spinal cord injury,classification.headache,classification.epilepsy,historical notes,Label(s),see also,submitting organization name,submitting contact name,submitting contact information,effective date,until date,steward organization name,steward contact name,steward contact information,creation date,last change date,administrative status,CAT OID,Form Item OID
MDSUPDRSChwngSwllwngScore,MDS-UPDRS,Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - chew swallow score,Common Data Element,1.1,"Score for the participant's/subject's ability to chew and swallow food, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's ability to chew and swallow food, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)",Numeric Values,NA,Single Pre-Defined Value Selected,NA,NA,0;1;2;3;4,"Normal: No problems;Slight: I am aware of slowness in my chewing or increased effort at swallowing, but I do not choke or need to have my food specially prepared;Mild: I need to have my pills cut or my food specially prepared because of chewing or swallowing problems, but I have not choked over the past week;Moderate. I choked at least once in the past week;Severe: Because of chewing and swallowing problems, I need a feeding tube.",0;1;2;3;4,NA,NA,NA,"PD:
Refer to instrument for additional instructions",MDS UPDRS Q2.3.  CDISC variables  QSORRES  for QSTESTCD=UPD2203,CHEWING AND SWALLOWING,CDISC;MDSUPDRS,"PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf",Adult,NA,NA,Outcomes and End Points.Motor Function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDS UPDRS Q2.3,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,2014-04-01,2020-02-05,Published,NA,NA
MDSUPDRSComplxtyMtrFluctScore,MDS-UPDRS,Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - complexity motor fluctuation score,Common Data Element,1.1,"Score for the participant's/subject's level of complex motor fluctuations, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's level of complex motor fluctuations, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)",Numeric Values,NA,Single Pre-Defined Value Selected,NA,NA,0;1;2;3;4;555,Normal: No motor fluctuations;Slight: OFF times are predictable all or almost all of the time (greater than 75 percent);Mild: OFF times are predictable most of the time (51-75 percent);Moderate: OFF times are predictable some of the time (26-50 percent);Severe: OFF episodes are rarely predictable (less than 25 percent);Unable To Rate,0;1;2;3;4;555,NA,NA,NA,"PD:
Determine the usual predictability of OFF function whether due to dose, time of day, food intake or other factors. Use the information provided by the patients and caregiver and supplement with your own observations. You will ask if the patient can count on them always coming at a special time, mostly coming at a special time (in which case you will probe further to separate slight from mild), only sometimes coming at a special time or are they totally unpredictable? Narrowing down the percentage will allow you to find the correct answer","MDS UPDRS 4.5.  CDISC variables  QSORRES  for QSTESTCD=UPD2405, QSEVLT=-P1W",COMPLEXITY OF MOTOR FLUCTUATIONS,CDISC;MDSUPDRS,"PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf",Adult,NA,NA,Outcomes and End Points.Motor Function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDS UPDRS 4.5,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,2014-04-01,2020-02-05,Published,NA,NA
MDSUPDRSConstipProbScore,MDS-UPDRS,Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - constipation problem score,Common Data Element,1.1,"Score for the participant's/subject's level of constipation, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's level of constipation, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)",Numeric Values,NA,Single Pre-Defined Value Selected,NA,NA,0;1;2;3;4,"Normal: No constipation;Slight: I have been constipated. I use extra effort to move my bowels. However, this problem does not disturb my activities or my being comfortable;Mild: Constipation causes me to have some troubles doing things or being comfortable;Moderate: Constipation causes me to have a lot of trouble doing things or being comfortable. However, it does not stop me from doing anything;Severe: I usually need physical help from someone else to empty my bowels.",0;1;2;3;4,NA,NA,NA,"PD:
Refer to instrument for additional instructions",MDS UPDRS Q1.11.  CDISC variables  QSORRES  for QSTESTCD=UPD2111,CONSTIPATION PROBLEMS,CDISC;MDSUPDRS,"PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf",Adult,NA,NA,Outcomes and End Points.Motor Function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDS UPDRS Q1.11,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,2014-04-01,2020-02-05,Published,NA,NA
MDSUPDRSConstncyRestTremrScore,MDS-UPDRS,Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - constancy of rest tremor score,Common Data Element,1.1,"Score for the participant's/subject's constancy of rest tremor when different body parts are at rest, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's constancy of rest tremor when different body parts are at rest, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)",Numeric Values,NA,Single Pre-Defined Value Selected,NA,NA,0;1;2;3;4;555,Normal: No tremor;Slight: Tremor at rest is present less than 25 percent of the entire examination period;Mild: Tremor at rest is present 26-50percent of the entire examination period;Moderate: Tremor at rest is present 51-75 percent of the entire examination period;Severe: Tremor at rest is present greater than 75 percent of the entire examination period;Unable To Rate,0;1;2;3;4;555,NA,NA,NA,"PD:
It is rated purposefully at the end of the examination so that several minutes of information can be coalesced into the rating.",MDS UPDRS Q3.18.  CDISC variables  QSORRES  for QSTESTCD=UPD2318,CONSTANCY OF REST TREMOR,CDISC;MDSUPDRS,"PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf",Adult,NA,NA,Outcomes and End Points.Motor Function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDS UPDRS Q3.18,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,2014-04-01,2020-02-05,Published,NA,NA
MDSUPDRSDaytmSleepScore,MDS-UPDRS,Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - daytime sleepiness score,Common Data Element,1.1,"Score for the participant's/subject's daytime sleepiness level , as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's daytime sleepiness level , as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)",Numeric Values,NA,Single Pre-Defined Value Selected,NA,NA,0;1;2;3;4,"Normal: No daytime sleepiness.;Slight: Daytime sleepiness occurs but I can resist and I stay awake;Mild: Sometimes I fall asleep when alone and relaxing. For example, while reading or watching TV;Moderate: I sometimes fall asleep when I should not. For example, while eating or talking with other people;Severe: I often fall asleep when I should not. For example, while eating or talking with other people.",0;1;2;3;4,NA,NA,NA,"PD:
Refer to instrument for additional instructions",MDS UPDRS Q1.8.  CDISC variables  QSORRES  for QSTESTCD=UPD2108,DAYTIME SLEEPINESS,CDISC;MDSUPDRS,"PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf",Adult,NA,NA,Outcomes and End Points.Motor Function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDS UPDRS Q1.8,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,2014-04-01,2020-02-05,Published,NA,NA
MDSUPDRSDopmnDysregSyndScore,MDS-UPDRS,Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - dopamine dysregulation syndrome score,Common Data Element,1.1,"Score for the participant's/subject's features of dopamine dysregulation syndrome considering involvement in a variety of activities including atypical or excessive gambling (e.g. casinos or lottery tickets), atypical or excessive sexual drive or interests (e.g., unusual interest in pornography, masturbation, sexual demands on partner), other repetitive activities (e.g. hobbies, dismantling objects, sorting or organizing), or taking extra non-prescribed medication for non-physical reasons (i.e., addictive behavior), as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS).","Score for the participant's/subject's features of dopamine dysregulation syndrome considering involvement in a variety of activities, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS).",Numeric Values,NA,Single Pre-Defined Value Selected,NA,NA,0;1;2;3;4;555,Normal: No problems present;Slight: Problems are present but usually do not cause any difficulties for the patient or family/caregiver;Mild: Problems are present and usually cause a few difficulties in the patient's personal and family life;Moderate: Problems are present and usually cause a lot of difficulties in the patient's personal and family life;Severe: Problems are present and preclude the patient's ability to carry out normal activities or social interactions or to maintain previous standards in personal and family life.;Unable To Rate,0;1;2;3;4;555,NA,NA,NA,"PD:
Give patient examples such as gambling, cleaning, using the computer, taking extra medicine, obsessing about food or sex, all depending on the patients.",MDS UPDRS Q1.6.  CDISC variables  QSORRES  for QSTESTCD=UPD2106,FEATURES OF DOPAMINE DYSREGULATION SYNDROME,CDISC;MDSUPDRS,"PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf",Adult,NA,NA,Outcomes and End Points.Motor Function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDS UPDRS Q1.6,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,2014-04-01,2020-02-05,Published,NA,NA
MDSUPDRSDressingScore,MDS-UPDRS,Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - dress score,Common Data Element,1.1,"Score for the participant's/subject's ability to dress himself or herself, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's ability to dress himself or herself, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)",Numeric Values,NA,Single Pre-Defined Value Selected,NA,NA,0;1;2;3;4,"Normal: Not at all (no problems);Slight: I am slow but I do not need help;Mild: I am slow and need help for a few dressing tasks (buttons, bracelets);Moderate: I need help for many dressing tasks;Severe: I need help for most or all dressing tasks",0;1;2;3;4,NA,NA,NA,"PD:
Refer to instrument for additional instructions",MDS UPDRS Q2.5.  CDISC variables  QSORRES  for QSTESTCD=UPD2205,DRESSING,CDISC;MDSUPDRS,"PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf",Adult,NA,NA,Outcomes and End Points.Motor Function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDS UPDRS Q2.5,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,2014-04-01,2020-02-05,Published,NA,NA
MDSUPDRSDrpssMoodScore,MDS-UPDRS,Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - depress mood score,Common Data Element,1.1,"Score of the participant's/subject's depressed mood considering low mood, sadness, hopelessness, feelings of emptiness or loss of enjoyment, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score of the participant's/subject's depressed mood considering low mood, sadness, hopelessness, feelings of emptiness or loss of enjoyment, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)",Numeric Values,NA,Single Pre-Defined Value Selected,NA,NA,0;1;2;3;4;555,"0= Normal: No depressed mood;Slight: Episodes of depressed mood that are not sustained for more than one day at a time. No interference with patient's ability to carry out normal activities;Mild: Depressed mood that is sustained over days, but without interference with normal activities and social interactions.;Moderate: Depressed mood that interferes with, but does not preclude, the patient's ability to carry out normal activities and social interactions.;Severe: Depressed mood precludes patient's ability to carry out normal activities and social interactions.;Unable To Rate",0;1;2;3;4;555,NA,NA,NA,"PD:
Instructions to examiner: Consider low mood, sadness, hopelessness, feelings of emptiness or loss of enjoyment. Determine their presence and duration over the past week and rate their interference with the patient's ability to carry out daily routines and engage in social interactions. Instruction to the patient (and caregiver): Over the past week have you felt low, sad, hopeless or unable to enjoy things? If yes, was this feeling for longer than one day at a time? Did it make it difficult for you carry out your usual activities or to be with people? If yes, examiner asks patient or caregiver to elaborate and probes for information]",MDS UPDRS Q1.3.  CDISC variables  QSORRES  for QSTESTCD=UPD2103,DEPRESSED MOOD,CDISC;MDSUPDRS,"PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf",Adult,NA,NA,Outcomes and End Points.Motor Function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDS UPDRS Q1.3,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,2014-04-01,2020-02-05,Published,NA,NA
MDSUPDRSDyskChreaDystnaPrsScr,MDS-UPDRS,Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - dyskinesia chorea or dystonia presence score,Common Data Element,1.1,"Indicator for whether the participant's/subject's had any dyskinesia (chorea or dystonia) present during examination, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Indicator for whether the participant's/subject's had any dyskinesia (chorea or dystonia) present during examination, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)",Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,No;Yes,No;Yes,0;1,NA,NA,NA,"PD:
Refer to instrument for additional instructions",MDS UPDRS Motor exam: Dyskinesia present indicator.  CDISC variables  QSORRES  for QSTESTCD=UPD2DA,Were dyskinesias (chorea or dystonia) present during examination?,CDISC;MDSUPDRS,"PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf",Adult,NA,NA,Outcomes and End Points.Motor Function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDS UPDRS Motor exam: Dyskinesia present indicator,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,2014-04-01,2020-02-05,Published,NA,NA
MDSUPDRSEatingTskScore,MDS-UPDRS,Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - eat task score,Common Data Element,1.1,"Score for the participant's/subject's ability to eat and handle food and utensils, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's ability to eat and handle food and utensils, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)",Numeric Values,NA,Single Pre-Defined Value Selected,NA,NA,0;1;2;3;4,"Normal: Not at all (no problems);Slight: I am slow, but I do not need any help handling my food and have not had food spills while eating;Mild: I am slow with my eating and have occasional food spills. I may need help with a few tasks such as cutting meat;Moderate: I need help with many eating tasks but can manage some alone;Severe: I need help for most or all eating tasks.",0;1;2;3;4,NA,NA,NA,"PD:
Refer to instrument for additional instructions",MDS UPDRS Q2.4.  CDISC variables  QSORRES  for QSTESTCD=UPD2204,EATING TASKS,CDISC;MDSUPDRS,"PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf",Adult,NA,NA,Outcomes and End Points.Motor Function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDS UPDRS Q2.4,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,2014-04-01,2020-02-05,Published,NA,NA
MDSUPDRSFacialExprScore,MDS-UPDRS,Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - facial expression score,Common Data Element,1.2,"Score for the participant's/subject's ability to make facial expressions observing the eye-blink frequency, masked faces or loss of facial expression, spontaneous smiling and parting of lips, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's ability to make facial expressions, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)",Numeric Values,NA,Single Pre-Defined Value Selected,NA,NA,0;1;2;3;4;555,"Normal: Normal facial expression;Slight: Minimal masked faces manifested only by decreased frequency of blinking;Mild: In addition to decreased eye-blink frequency, Masked faces present in the lower face as well, namely fewer movements around the mouth, such as less spontaneous smiling, but lips not parted;Moderate: Masked faces with lips parted some of the time when the mouth is at rest;Severe: Masked faces with lips parted most of the time when the mouth is at rest;Unable To Rate",0;1;2;3;4;555,NA,NA,NA,"PD:
Refer to instrument for additional instructions",MDS UPDRS Q3.2.  CDISC variables  QSORRES  for QSTESTCD=UPD2302,FACIAL EXPRESSION,CDISC;MDSUPDRS,"PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf",Adult,NA,NA,Outcomes and End Points.Motor Function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDS UPDRS Q3.2,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,2014-04-01,2020-02-05,Published,NA,NA
MDSUPDRSFatigueScore,MDS-UPDRS,Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - fatigue score,Common Data Element,1.1,"Score for the participant's/subject's level of fatigue, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's level of fatigue, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)",Numeric Values,NA,Single Pre-Defined Value Selected,NA,NA,0;1;2;3;4,"Normal: No fatigue;Slight: Fatigue occurs. However it does not cause me troubles doing things or being with people;Mild: Fatigue causes me some troubles doing things or being with people;Moderate: Fatigue causes me a lot of troubles doing things or being with people. However, it does not stop me from doing anything;Severe: Fatigue stops me from doing things or being with people.",0;1;2;3;4,NA,NA,NA,"PD:
Refer to instrument for additional instructions",MDS UPDRS Q1.13.  CDISC variables  QSORRES  for QSTESTCD=UPD2113,FATIGUE,CDISC;MDSUPDRS,"PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf",Adult,NA,NA,Outcomes and End Points.Motor Function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDS UPDRS Q1.13,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,2014-04-01,2020-02-05,Published,NA,NA
MDSUPDRSFingerTppngLftHndScore,MDS-UPDRS,Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - finger tap left hand score,Common Data Element,1.1,"Score for the participant's/subject's ability to tap the left hand fingers evaluating the speed, amplitude, hesitations, halts and decrementing amplitude, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's ability to tap the left hand fingers evaluating the speed, amplitude, hesitations, halts and decrementing amplitude, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)",Numeric Values,NA,Single Pre-Defined Value Selected,NA,NA,0;1;2;3;4;555,"Normal: No problems;Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the tapping movement| b) slight slowing| c) the amplitude decrements near the end of the 10 taps;Mild: Any of the following: a) 3 to 5 interruptions during tapping| b) mild slowing| c) the amplitude decrements midway in the 10-tap sequence;Moderate: Any of the following: a) more than 5 interruptions during tapping or at least one longer arrest (freeze) in ongoing movement| b) moderate slowing| c) the amplitude decrements starting after the 1st tap;Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.;Unable To Rate",0;1;2;3;4;555,NA,NA,NA,"PD:
Each hand is tested separately. Demonstrate the task, but do not continue to perform the task while the patient is being tested. Rate each side separately, evaluating speed, amplitude, hesitations, halts and decrementing amplitude.",MDS UPDRS Q3.4b.  CDISC variables  QSORRES  for QSTESTCD=UPD2304B,FINGER TAPPING,CDISC;MDSUPDRS,"PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf",Adult,NA,NA,Outcomes and End Points.Motor Function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDS UPDRS Q3.4b,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,2014-04-01,2020-02-05,Published,NA,NA
MDSUPDRSFingerTppngRteHndScore,MDS-UPDRS,Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - finger tap right hand score,Common Data Element,1.1,"Score for the participant's/subject's ability to tap the right hand fingers evaluating the speed, amplitude, hesitations, halts and decrementing amplitude, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's ability to tap the right hand fingers evaluating the speed, amplitude, hesitations, halts and decrementing amplitude, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)",Numeric Values,NA,Single Pre-Defined Value Selected,NA,NA,0;1;2;3;4;555,"Normal: No problems;Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the tapping movement| b) slight slowing| c) the amplitude decrements near the end of the 10 taps;Mild: Any of the following: a) 3 to 5 interruptions during tapping| b) mild slowing| c) the amplitude decrements midway in the 10-tap sequence;Moderate: Any of the following: a) more than 5 interruptions during tapping or at least one longer arrest (freeze) in ongoing movement| b) moderate slowing| c) the amplitude decrements starting after the 1st tap;Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.;Unable To Rate",0;1;2;3;4;555,NA,NA,NA,"PD:
Each hand is tested separately. Demonstrate the task, but do not continue to perform the task while the patient is being tested. Rate each side separately, evaluating speed, amplitude, hesitations, halts and decrementing amplitude.",MDS UPDRS Q3.4a.  CDISC variables  QSORRES  for QSTESTCD=UPD2304A,FINGER TAPPING,CDISC;MDSUPDRS,"PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf",Adult,NA,NA,Outcomes and End Points.Motor Function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDS UPDRS Q3.4a,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,2014-04-01,2020-02-05,Published,NA,NA
MDSUPDRSFreeFlowSpeechScore,MDS-UPDRS,Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - free flow speech score,Common Data Element,1.1,"Score for the participant's/subject's free flowing speech ability considering the volume, modulation, clarity, slurring, palilalia, and tachyphemia, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's free flowing speech ability considering the volume, modulation, clarity, slurring, palilalia, and tachyphemia, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)",Numeric Values,NA,Single Pre-Defined Value Selected,NA,NA,0;1;2;3;4;555,"Normal: No speech problems;Slight: Loss of modulation, diction or volume, but still all words easy to understand;Mild: Loss of modulation, diction, or volume, with a few words unclear, but the overall sentences easy to follow;Moderate: Speech is difficult to understand to the point that some, but not most, sentences are poorly understood;Severe: Most speech is difficult to understand or unintelligible;Unable To Rate",0;1;2;3;4;555,NA,NA,NA,"PD:
Refer to instrument for additional instructions",MDS UPDRS Q3.1.  CDISC variables  QSORRES  for QSTESTCD=UPD2301,SPEECH,CDISC;MDSUPDRS,"PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf",Adult,NA,NA,Outcomes and End Points.Motor Function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDS UPDRS Q3.1,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,NA,NA,NIH/NINDS,NINDSCDE,NINDSCDE@emmes.com,2014-04-01,2020-02-05,Published,NA,NA
